Flood?,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp
1,87,1.6,5.9,4.1,29.55
1,87,1.3,5.8,3.7,29.75
1,87,1.5,6,4.3,30.1
1,89,0.8,5.3,4.9,29.2
0,83,0.4,3.5,7.2,29.8
0,78,0.4,1.3,7.9,26.15
0,76,0.3,0.6,8.1,21.4
0,75,0.3,0.6,8.8,21.3
0,70,0.5,1.2,9.5,22.95
0,66,1.2,1.9,8.8,27.4
0,75,1.1,2.2,9.2,30.8
0,77,1.6,2.9,10,31.65
1,87,1.8,5.5,5.4,31.7
1,88,1.6,5.6,5.1,30.2
1,90,1.5,6.1,5.7,30.15
0,88,0.7,4.9,5.7,30.7
0,83,0.5,2.4,8.8,28.55
0,81,0.3,1.9,8.1,27.25
0,80,0.3,0.9,9,21.6
0,75,0.4,0.5,9,20.65
0,75,0.4,1.5,9,23.05
0,75,0.9,2.6,8.8,26.95
